"subj" "resp" "age"
"1" 1 -0.63322623672861 22
"2" 2 0.828057558343988 21
"3" 3 0.180605168350833 20
"4" 4 0.341901262469568 22
"5" 5 -0.000690129105612861 18
"6" 6 0.795493975635272 23
"7" 7 0.692321912875072 19
"8" 8 -1.26730057113923 25
"9" 9 0.578112426307392 27
"10" 10 1.12592202059975 24
"11" 11 -0.59300583010985 19
"12" 12 -0.370356702554794 26
"13" 13 -0.230255206020051 19
"14" 14 -0.163726102550963 27
"15" 15 0.696017322852408 26
"16" 16 1.15039169185651 26
"17" 17 0.301710032663822 18
"18" 18 0.822794461971466 21
"19" 19 -0.900514433740687 25
"20" 20 -1.23095386389661 24
"21" 21 -1.62734760356755 20
"22" 22 0.578235580617283 22
"23" 23 1.71022387483882 25
"24" 24 1.71409925524012 21
"25" 25 0.715148377216168 21
"26" 26 -0.963127443219704 21
"27" 27 0.654902703626335 24
"28" 28 -0.113828817903048 25
"29" 29 -0.23730251353242 24
"30" 30 -0.340366255957358 19
