"subj" "resp" "age"
"1" 1 -0.203073642689287 27
"2" 2 0.409098748584601 19
"3" 3 0.452540576158169 24
"4" 4 0.268561817907828 22
"5" 5 1.02483532362076 20
"6" 6 -1.87023626653865 23
"7" 7 -0.112194464736064 23
"8" 8 1.37284195229579 26
"9" 9 0.199363874743946 26
"10" 10 -0.898713959681795 18
"11" 11 0.999999705374695 18
"12" 12 1.95507914890754 18
"13" 13 0.410841865904212 21
"14" 14 0.3402395039838 24
"15" 15 -1.65378670009285 25
"16" 16 -1.67555526682538 20
"17" 17 0.512593626405914 24
"18" 18 -0.87417059628585 21
"19" 19 1.02525830743455 25
"20" 20 0.673260262802323 27
"21" 21 0.285715818384187 24
"22" 22 -0.745797694438335 18
"23" 23 -0.78879005675153 22
"24" 24 1.31974732292152 24
"25" 25 -0.946996807790801 26
"26" 26 -0.771472878303651 21
"27" 27 0.936346937857133 26
"28" 28 0.978911648987587 19
"29" 29 1.99807669286247 19
"30" 30 0.174183519048693 21
